author;gender
A. Merritt;Male
A.C. Crispin;Female
A.E. van Vogt;Male
A.G. Riddle;Male
Adam Oyebanji;Male
Adolfo Bioy Casares;Male
Adrian Tchaikovsky;Male
Agustina Bazterrica;Female
Aimee Pokwatka;Female
Akemi Dawn Bowman;Female
Alan Dean Foster;Male
Alan E. Nourse;Male
Alastair Reynolds;Male
Albert Robida;Male
Aldous Huxley;Male
Aleksey Nikolayevich Tolstoy;Male
Alex White;Other
Alexander Belyaev;Male
Alexander Key;Male
Alexandr Bogdanov;Male
Alexandra Bracken;Female
Alexei Panshin;Male
Alfred Bester;Male
Algis Budrys;Male
Ally Condie;Female
Amal El-Mohtar;Female
Amie Kaufman;Female
Andre Norton;Female
Andrew Clements;Male
Andrew Gillsmith;Male
Andrew Hunter Murray;Male
Andy Weir;Male
Ann Aguirre;Female
Ann Leckie;Female
Anna Bowman Dodd;Female
Anna Carey;Female
Anna Kavan;Female
Annalee Newitz;Female
Anne McCaffrey;Female
"Anne; Lackey McCaffrey";Female
Anthony Burgess;Male
Anthony Doerr;Male
Arkady Martine;Female
Arkady Strugatsky;Male
Arno Schmidt;Male
Arthur C. Clarke;Male
Arthur Conan Doyle;Male
Audrey Niffenegger;Female
Auguste de Villiers de l'Isle-Adam;Male
Austin Tappan Wright;Male
Ayn Rand;Female
B. F. Skinner;Male
Barbara Hambly;Female
Barry B. Longyear;Male
Becky Chambers;Female
Ben Bova;Male
Ben Counter;Male
Bernard Beckett;Male
Bernard Wolfe;Male
Beth Revis;Female
Blake Crouch;Male
Blake Savage;Male
Bob Shaw;Male
Boris Strugatsky;Male
Brandon Sanderson;Male
Brett Sterling;Male
Brian Daley;Male
Brian Herbert;Male
Brian W. Aldiss;Male
Bruce Coville;Male
Bruce Sterling;Male
C. Robert Cargill;Male
C.J. Cherryh;Female
C.L. Moore;Female
C.M. Kornbluth;Male
C.S. Friedman;Female
C.S. Lewis;Male
Caitlin Starling;Female
Calvin Kasulke;Male
Camille Flammarion;Male
Caragh M. O'Brien;Female
Carl Sagan;Male
Cassandra Khaw;Female
Catherine Fisher;Female
Catherine Helen Spence;Female
Catherynne M. Valente;Female
Celeste Ng;Female
Charles L. Harness;Male
Charles Soule;Male
Charles Stross;Male
Charlie Jane Anders;Female
Charlotte Perkins Gilman;Female
Cherie Priest;Female
China Miéville;Male
Chris Hadfield;Male
Christina Dalcher;Female
Christina Sweeney-Baird;Female
Christopher Paolini;Male
Christopher Priest;Male
Claire Holroyde;Female
Claire North;Female
Claudia Gray;Female
Clifford D. Simak;Male
Colin Wilson;Male
Connie Willis;Female
Cordwainer Smith;Male
Cormac McCarthy;Male
Cory Doctorow;Male
Crispin;Male
Curt Siodmak;Male
D.F. Jones;Male
Damon Knight;Male
Dan Abnett;Male
Dan Brown;Male
Dan Frey;Male
Dan Simmons;Male
Dan Wells;Male
Daniel F. Galouye;Male
Daniel Keyes;Male
Daniel O'Malley;Male
Daniel Suarez;Male
Daphne du Maurier;Female
Dave Eggers;Male
Dave Wolverton;Male
David Brin;Male
David Drake;Male
David Gerrold;Male
David Graham;Male
David Lindsay;Male
David Mitchell;Male
David Weber;Male
David Whitaker;Male
David Wong;Male
David Yoon;Male
Dean Koontz;Male
Dennis E. Taylor;Male
Diana Wynne Jones;Female
Diane Cook;Female
Diane Duane;Female
Dmitry Glukhovsky;Male
Donald F. Glut;Male
Donna Barba Higuera;Female
Doris Lessing;Female
Doug Naylor;Male
Douglas Adams;Male
Douglas E. Richards;Male
Douglas Preston;Male
Drew Karpyshyn;Male
"E.E. ""Doc"" Smith";Male
E.V. Odle;Male
Eando Binder;Male
Edgar Pangborn;Male
Edgar Rice Burroughs;Male
Edmond Hamilton;Male
Edmund Cooper;Male
Edward Ashton;Male
Edward Bellamy;Male
Edward Bulwer-Lytton;Male
Edward Everett Hale;Male
Edwin A. Abbott;Male
Eleanor Cameron;Female
Eliot Schrefer;Male
Elizabeth Moon;Female
Ellen MacGregor;Female
Emily Jane;Female
Emily St. John Mandel;Female
Emily Tesh;Female
Emma Straub;Female
Eoin Colfer;Male
Eric Flint;Male
Eric Frank Russell;Male
Eric S. Nylund;Male
Ernest Cline;Male
Ernst Jünger;Male
Eugen Richter;Male
Everina Maxwell;Female
Frank Herbert;Male
Frank R. Stockton;Male
Frank Schätzing;Male
Fred Hoyle;Male
Frederik Pohl;Male
Fredric Brown;Male
Fritz Leiber;Male
Félix J. Palma;Male
Gabrielle Korn;Female
Gareth L. Powell;Male
Garth Nix;Male
Gemma Malley;Female
Gene Roddenberry;Male
Gene Wolfe;Male
George Alec Effinger;Male
George Chetwynd Griffith;Male
George Lowther;Male
George Lucas;Male
George O. Smith;Male
George Orwell;Male
George R. Stewart;Male
George R.R. Martin;Male
George Tomkyns Chesney;Male
George Tucker;Male
Glen A. Larson;Male
Gordon R. Dickson;Male
Gore Vidal;Male
Graham McNeill;Male
Grant Naylor;Male
Greg Bear;Male
Greg Egan;Male
Gregory Benford;Male
Guillermo del Toro;Male
Gustave Le Rouge;Male
H. Beam Piper;Male
H.G. Wells;Male
H.P. Lovecraft;Male
Hal Clement;Male
Hank Green;Male
Harlan Ellison;Male
Harry Harrison;Male
Harry Martinson;Male
Harry Turtledove;Male
Haruki Murakami;Male
Henry Kuttner;Male
Henry Winterfeld;Male
Hermann Hesse;Male
Hervé Le Tellier;Male
Hiron Ennes;Other
Hugh Howey;Male
Hugo Correa;Male
Iain Banks;Male
Iain M. Banks;Male
Ilona Andrews;Female
Ira Levin;Male
Isaac Asimov;Male
Ivan Efremov;Male
J.G. Ballard;Male
J.M. Dillard;Female
J.M. Troska;Male
J.S. Dewes;Female
Jack Campbell;Male
Jack Finney;Male
Jack L. Chalker;Male
Jack McDevitt;Male
Jack Vance;Male
Jack Williamson;Male
Jacqueline Harpman;Female
Jael Richardson;Female
James Blish;Male
James Dashner;Male
James E. Gunn;Male
James H. Schmitz;Male
James Kahn;Male
James P. Hogan;Male
James Patterson;Male
James S.A. Corey;Male
James Swallow;Male
James White;Male
Jane Yolen;Female
Janusz A. Zajdel;Male
Jason Pargin;Male
Jasper Fforde;Male
Jay Asher;Male
Jay Williams;Male
