title;author;url;year;rate;ratings;genres;synopsis
Brave New World;Aldous Huxley;https://www.goodreads.com/book/show/5129.Brave_New_World;1932;3.99;1901472;['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Novels', 'School'];"Aldous Huxley's profoundly important classic of world literature, Brave New World is a searching vision of an unequal, technologically-advanced future where humans are genetically bred, socially indoctrinated, and pharmaceutically anesthetized to passively uphold an authoritarian ruling order–all at the cost of our freedom, full humanity, and perhaps also our souls. “A genius [who] who spent his life decrying the onward march of the Machine” (The New Yorker), Huxley was a man of incomparable talents: equally an artist, a spiritual seeker, and one of history’s keenest observers of human nature and civilization. Brave New World, his masterpiece, has enthralled and terrified millions of readers, and retains its urgent relevance to this day as both a warning to be heeded as we head into tomorrow and as thought-provoking, satisfying work of literature. Written in the shadow of the rise of fascism during the 1930s, Brave New Worldd likewise speaks to a 21st-century world dominated by mass-entertainment, technology, medicine and pharmaceuticals, the arts of persuasion, and the hidden influence of elites. ""Aldous Huxley is the greatest 20th century writer in English."" —Chicago Tribune"
Out of the Silent Planet (The Space Trilogy, #1);C.S. Lewis;https://www.goodreads.com/book/show/25350.Out_of_the_Silent_Planet;1938;3.93;97500;['Science Fiction', 'Fiction', 'Fantasy', 'Classics', 'Christian', 'Christian Fiction', 'Science Fiction Fantasy'];In the first novel of C.S. Lewis's classic science fiction trilogy, Dr Ransom, a Cambridge academic, is abducted and taken on a spaceship to the red planet of Malacandra, which he knows as Mars. His captors are plotting to plunder the planet's treasures and plan to offer Ransom as a sacrifice to the creatures who live there. Ransom discovers he has come from the 'silent planet' – Earth – whose tragic story is known throughout the universe...
At the Mountains of Madness;H.P. Lovecraft;https://www.goodreads.com/book/show/32767.At_the_Mountains_of_Madness;1931;3.81;55640;['Horror', 'Fiction', 'Classics', 'Science Fiction', 'Fantasy', 'Audiobook', 'Lovecraftian'];"Long acknowledged as a master of nightmarish vision, H.P. Lovecraft established the genuineness and dignity of his own pioneering fiction in 1931 with his quintessential work of supernatural horror, At the Mountains of Madness. The deliberately told and increasingly chilling recollection of an Antarctic expedition's uncanny discoveries --and their encounter with an untold menace in the ruins of a lost civilization--is a milestone of macabre literature.This Definitive Edition of At the Mountains of Madness (The Modern Library) also includes Lovecraft's long essay ""Supernatural Horror in Literature."""
Lost Horizon;James Hilton;https://www.goodreads.com/book/show/2978.Lost_Horizon;1933;3.95;23093;['Fiction', 'Classics', 'Fantasy', 'Adventure', 'Historical Fiction', 'Literature', 'Novels'];"While attempting to escape a civil war, four people are kidnapped and transported to the Tibetan mountains. After their plane crashes, they are found by a mysterious Chinese man. He leads them to a monastery hidden in ""the valley of the blue moon"" -- a land of mystery and matchless beauty where life is lived in tranquil wonder, beyond the grasp of a doomed world.It is here, in Shangri-La, where destinies will be discovered and the meaning of paradise will be unveiled."
War with the Newts;Karel Čapek;https://www.goodreads.com/book/show/816440.War_with_the_Newts;1936;4.17;15110;['Science Fiction', 'Fiction', 'Classics', 'Czech Literature', 'Dystopia', 'Fantasy', 'Humor'];Man discovers a species of giant, intelligent newts and learns to exploit them so successfully that the newts gain skills and arms enough to challenge man's place at the top of the animal kingdom. Along the way, Karel Capek satirizes science, runaway capitalism, fascism, journalism, militarism, even Hollywood.
Last and First Men;Olaf Stapledon;https://www.goodreads.com/book/show/2749148-last-and-first-men;1930;3.79;6453;['Science Fiction', 'Fiction', 'Classics', 'Philosophy', 'Speculative Fiction', 'Fantasy', 'Science Fiction Fantasy'];"""No book before or since has ever had such an impact upon my imagination,"" declared Arthur C. Clarke of Last and First Men. This masterpiece of science fiction by British philosopher and writer Olaf Stapledon (1886–1950) is an imaginative, ambitious history of humanity's future that spans billions of years. Together with its follow-up, Star Maker, it is regarded as the standard by which all earlier and later future histories are measured.The protagonist of this compelling novel is humanity itself, stripped down to sheer intelligence. It evolves through the ages: rising to pinnacles of civilization, teetering on the brink of extinction, surviving onslaughts from other planets and a decline in solar energy, and constantly developing new forms, new senses, and new intellectual abilities. From the present to five billion years into the future, this romance of humanity abounds in profound and imaginative thought."
Odd John;Olaf Stapledon;https://www.goodreads.com/book/show/770717.Odd_John;1935;3.69;1600;['Science Fiction', 'Fiction', 'Classics', 'Science Fiction Fantasy', 'Novels', 'British Literature', 'Fantasy'];Book by Stapledon
A Martian Odyssey;Stanley G. Weinbaum;https://www.goodreads.com/book/show/22243537-a-martian-odyssey;1934;3.78;1495;['Science Fiction', 'Short Stories', 'Classics', 'Audiobook', 'Fiction', 'Aliens', 'Fantasy'];"A Martian Odyssey is a science fiction short story by Stanley G. Weinbaum originally published in the July 1934 issue of Wonder Stories. It was Weinbaum's second published story (in 1933 he had sold a romantic novel, The Lady Dances, to King Features Syndicate under the pseudonym Marge Stanley), and remains his best known. It was followed four months later by a sequel, ""Valley of Dreams."" These are the only stories by Weinbaum set on Mars. Early in the 21st century, nearly twenty years after the invention of atomic power and ten years after the first lunar landing, the four-man crew of the Ares has landed on Mars in the Mare Cimmerium. A week after the landing, Dick Jarvis, the ship's American chemist, sets out south in an auxiliary rocket to photograph the landscape. Eight hundred miles out, the engine on Jarvis' rocket gives out, and he crash-lands into one of the Thyle regions. Rather than sit and wait for rescue, Jarvis decides to walk back north to the Ares. Just after crossing into the Mare Chronium, Jarvis comes across a tentacled Martian creature attacking a large birdlike creature. He notices that the birdlike Martian is carrying a bag around its neck, and recognizing it as an intelligent being, saves it from the tentacled monstrosity. The rescued creature refers to itself as Tweel. Tweel accompanies Jarvis on his trip back to the Ares, in the course of which it manages to pick up some English, although Jarvis is unable to make any sense of Tweel's language. At first, Tweel travels in tremendous, city-block-long leaps that end with its long beak buried in the ground, but upon seeing Jarvis trudge along, walks beside him. Upon reaching Xanthus, a desert region outside the Mare Cimmerium, Jarvis and Tweel find a line of small pyramids tens of thousands of years old made of silica bricks, each open at the top. As they follow the line, the pyramids slowly become larger and newer. By the time the pyramids are ten feet high, the travelers reach the end of the line and find a pyramid that is not open at the top. As they watch, a creature with gray scales, one arm, a mouth and a pointed tail pushes its way out of the top of the pyramid, pulls itself several yards along the ground, then plants itself in the ground by the tail. It starts exhaling bricks from its mouth at ten-minute intervals and using them to build another pyramid around itself. Jarvis realizes that the creature is silicon-based rather than carbon-based; neither animal, vegetable nor mineral, but a little of each. The strange combination of a creature produces the solid substance silica and builds itself in with the by-product, then sleeps for an unknown length of time. As the two approach a canal cutting across Xanthus, Jarvis is feeling homesick for New York City, thinking about Fancy Long, a woman he knows from the cast of the Yerba Mate Hour show. When he sees Long standing by the canal, he begins to approach her, but is stopped by Tweel. Tweel takes out a gun that fires poisoned glass needles and shoots Long, who vanishes, replaced by one of the tentacled creatures that Jarvis rescued Tweel from at their first meeting. Jarvis realizes that the tentacled creature, which he names a dream-beast, lures its prey by projecting illusions into their minds."
Star Maker;Olaf Stapledon;https://www.goodreads.com/book/show/525304.Star_Maker;1937;3.91;8427;['Science Fiction', 'Fiction', 'Philosophy', 'Classics', 'Fantasy', 'Speculative Fiction', 'Novels'];One moment a man sits on a suburban hill, gazing curiously at the stars. The next, he is whirling through the firmament, and perhaps the most remarkable of all science fiction journeys has begun.Even Stapledon's other great work, LAST AND FIRST MEN, pales in ambition next to STAR MAKER, which presents nothing less than an entire imagined history of life in the universe, encompassing billions of years.
Last and First Men/Star Maker;Olaf Stapledon;https://www.goodreads.com/book/show/564325.Last_and_First_Men_Star_Maker;1937;3.99;590;['Science Fiction', 'Fiction', 'Science Fiction Fantasy', 'Novels', 'Classics', 'Speculative Fiction', 'Collections'];"The greatest future histories in science fiction. In Last and First Men the protagonist is ""mankind"" in an ultimate definition — intelligence. Star Maker , in a sense its sequel, is concerned with the history of intelligence in the entire cosmos."
