title;author;year;avg_rating;ratings;url
Dune (Dune, #1);Frank Herbert;1965;4.28;1437617;https://www.goodreads.com/book/show/44767458-dune
Ender’s Game (Ender's Saga, #1);Orson Scott Card;1985;4.31;1397816;https://www.goodreads.com/book/show/375802.Ender_s_Game
The Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1);Douglas Adams;1979;4.23;1880797;https://www.goodreads.com/book/show/11.The_Hitchhiker_s_Guide_to_the_Galaxy
The Martian (Hardcover);Andy Weir;2011;4.42;1155695;https://www.goodreads.com/book/show/18007564-the-martian
Ready Player One (Ready Player One, #1);Ernest Cline;2011;4.23;1199545;https://www.goodreads.com/book/show/9969571-ready-player-one
Fahrenheit 451 (Kindle Edition);Ray Bradbury;1953;3.96;2495722;https://www.goodreads.com/book/show/13079982-fahrenheit-451
1984 (Paperback);George Orwell;1949;4.19;4767404;https://www.goodreads.com/book/show/61439040-1984
The Hunger Games (The Hunger Games, #1);Suzanne Collins;2008;4.34;8918167;https://www.goodreads.com/book/show/2767052-the-hunger-games
Brave New World (Paperback);Aldous Huxley;1932;3.99;1900759;https://www.goodreads.com/book/show/5129.Brave_New_World
Foundation (Foundation, #1);Isaac Asimov;1951;4.17;551868;https://www.goodreads.com/book/show/29579.Foundation
Do Androids Dream of Electric Sheep? (Kindle Edition);Philip K. Dick;1968;4.09;464526;https://www.goodreads.com/book/show/36402034-do-androids-dream-of-electric-sheep
Catching Fire (The Hunger Games, #2);Suzanne Collins;2009;4.33;3690718;https://www.goodreads.com/book/show/6148028-catching-fire
The Three-Body Problem (Remembrance of Earth’s Past, #1);Liu Cixin;2006;4.08;384862;https://www.goodreads.com/book/show/20518872-the-three-body-problem
Project Hail Mary (Hardcover);Andy Weir;2021;4.51;636229;https://www.goodreads.com/book/show/54493401-project-hail-mary
Mockingjay (The Hunger Games, #3);Suzanne Collins;2010;4.09;3322022;https://www.goodreads.com/book/show/7260188-mockingjay
The Time Machine (Paperback);H.G. Wells;1895;3.89;529428;https://www.goodreads.com/book/show/2493.The_Time_Machine
