title;author;url;year;rate;ratings;genres;synopsis;decade
Frankenstein: The 1818 Text;Mary Wollstonecraft Shelley;https://www.goodreads.com/book/show/35031085-frankenstein;1818;3.87;1645256;['Horror', 'Fiction', 'Science Fiction', 'Gothic', 'Fantasy', 'School', 'Literature'];This is a previously-published edition of ISBN 9780143131847. Mary Shelley's seminal novel of the scientist whose creation becomes a monster. This edition is the original 1818 text, which preserves the hard-hitting and politically charged aspects of Shelley's original writing, as well as her unflinching wit and strong female voice. This edition also includes a new introduction and suggestions for further reading by author and Shelley expert Charlotte Gordon, literary excerpts and reviews selected by Gordon and a chronology and essay by preeminent Shelley scholar Charles E. Robinson.;1810
Journey to the Center of the Earth;Jules Verne;https://www.goodreads.com/book/show/32829.Journey_to_the_Center_of_the_Earth;1864;3.85;205611;['Classics', 'Science Fiction', 'Fiction', 'Adventure', 'Fantasy', 'France', 'Audiobook'];An adventurous geology professor chances upon a manuscript in which a 16th-century explorer claims to have found a route to the earth's core. Professor Lidenbrock can't resist the opportunity to investigate, and with his nephew Axel, he sets off across Iceland in the company of Hans Bjelke, a native guide. The expedition descends into an extinct volcano toward a sunless sea, where they encounter a subterranean world of luminous rocks, antediluvian forests, and fantastic marine life — a living past that holds the secrets to the origins of human existence.;1860
From the Earth to the Moon;Jules Verne;https://www.goodreads.com/book/show/32827.From_the_Earth_to_the_Moon;1865;3.76;36318;['Science Fiction', 'Classics', 'Fiction', 'Adventure', 'France', 'Fantasy', 'Literature'];Een in de 19e eeuw geschreven verhaal over een reis naar de maan, waaruit blijkt dat de schrijver in technisch opzicht zijn tijd ver vooruit was;1860
Twenty Thousand Leagues Under the Sea;Jules Verne;https://www.goodreads.com/book/show/33507.Twenty_Thousand_Leagues_Under_the_Sea;1869;3.89;258721;['Classics', 'Science Fiction', 'Fiction', 'Adventure', 'Fantasy', 'France', 'Literature'];When an unidentified “monster” threatens international shipping, French oceanographer Pierre Aronnax and his unflappable assistant Conseil join an expedition organized by the US Navy to hunt down and destroy the menace. After months of fruitless searching, they finally grapple with their quarry, but Aronnax, Conseil, and the brash Canadian harpooner Ned Land are thrown overboard in the attack, only to find that the “monster” is actually a futuristic submarine, the Nautilus, commanded by a shadowy, mystical, preternaturally imposing man who calls himself Captain Nemo. Thus begins a journey of 20,000 leagues—nearly 50,000 miles—that will take Captain Nemo, his crew, and these three adventurers on a journey of discovery through undersea forests, coral graveyards, miles-deep trenches, and even the sunken ruins of Atlantis. Jules Verne’s novel of undersea exploration has been captivating readers ever since its first publication in 1870, and Frederick Paul Walter’s reader-friendly, scientifically meticulous translation of this visionary science fiction classic is complete and unabridged down to the smallest substantive detail.;1860
Around the World in Eighty Days;Jules Verne;https://www.goodreads.com/book/show/54479.Around_the_World_in_Eighty_Days;1872;3.94;255641;['Classics', 'Fiction', 'Adventure', 'Science Fiction', 'France', 'Travel', 'Fantasy'];One night in the reform club, Phileas Fogg bets his companions that he can travel across the globe in just eighty days. Breaking the well-established routine of his daily life, he immediately sets off for Dover with his astonished valet Passepartout. Passing through exotic lands and dangerous locations, they seize whatever transportation is at hand—whether train or elephant—overcoming set-backs and always racing against the clock.;1870
The Mysterious Island;Jules Verne;https://www.goodreads.com/book/show/32831.The_Mysterious_Island;1874;4.13;55243;['Classics', 'Fiction', 'Science Fiction', 'Adventure', 'Fantasy', 'France', 'Literature'];After hijacking a balloon from a Confederate camp, a band of five northern prisoners escapes the American Civil War. Seven thousand miles later, they drop from the clouds onto an uncharted volcanic island in the Pacific. Through teamwork, scientific knowledge, engineering, and perseverance, they endeavour to build a colony from scratch. But this island of abundant resources has its secrets. The castaways discover they are not alone. A shadowy, yet familiar, agent of their unfathomable fate is watching.What unfolds in Jules Verne’s imaginative marvel is both an enthralling mystery and the ultimate in survivalist adventures.;1870
Flatland: A Romance of Many Dimensions;Edwin A. Abbott;https://www.goodreads.com/book/show/433567.Flatland;1884;3.81;71807;['Fiction', 'Science Fiction', 'Classics', 'Mathematics', 'Fantasy', 'Philosophy', 'Literature'];"This masterpiece of science (and mathematical) fiction is a delightfully unique and highly entertaining satire that has charmed readers for more than 100 years. The work of English clergyman, educator and Shakespearean scholar Edwin A. Abbott (1838-1926), it describes the journeys of A. Square [sic – ed.], a mathematician and resident of the two-dimensional Flatland, where women-thin, straight lines-are the lowliest of shapes, and where men may have any number of sides, depending on their social status.Through strange occurrences that bring him into contact with a host of geometric forms, Square has adventures in Spaceland (three dimensions), Lineland (one dimension) and Pointland (no dimensions) and ultimately entertains thoughts of visiting a land of four dimensions—a revolutionary idea for which he is returned to his two-dimensional world. Charmingly illustrated by the author, Flatland is not only fascinating reading, it is still a first-rate fictional introduction to the concept of the multiple dimensions of space. ""Instructive, entertaining, and stimulating to the imagination."" — Mathematics Teacher.";1880
Dr. Jekyll and Mr. Hyde;Robert Louis Stevenson;https://www.goodreads.com/book/show/51496.Dr_Jekyll_and_Mr_Hyde;1886;3.83;599664;['Horror', 'Gothic', 'Science Fiction', 'Mystery', 'Fantasy', 'Literature', 'Audiobook'];Robert Louis Stevenson's masterpiece of the duality of good and evil in man's nature sprang from the darkest recesses of his own unconscious—during a nightmare from which his wife awakened him, alerted by his screams. More than a hundred years later, this tale of the mild-mannered Dr. Jekyll and the drug that unleashes his evil, inner persona—the loathsome, twisted Mr. Hyde—has lost none of its ability to shock. Its realistic police-style narrative chillingly relates Jekyll's desperation as Hyde gains control of his soul—and gives voice to our own fears of the violence and evil within us. Written before Freud's naming of the ego and the id, Stevenson's enduring classic demonstrates a remarkable understanding of the personality's inner conflicts—and remains the irresistibly terrifying stuff of our worst nightmares.;1880
The Time Machine;H.G. Wells;https://www.goodreads.com/book/show/2493.The_Time_Machine;1895;3.89;529457;['Science Fiction', 'Fiction', 'Classics', 'Time Travel', 'Fantasy', 'Dystopia', 'Audiobook'];“I’ve had a most amazing time....”So begins the Time Traveller’s astonishing firsthand account of his journey 800,000 years beyond his own era—and the story that launched H.G. Wells’s successful career and earned him his reputation as the father of science fiction. With a speculative leap that still fires the imagination, Wells sends his brave explorer to face a future burdened with our greatest hopes...and our darkest fears. A pull of the Time Machine’s lever propels him to the age of a slowly dying Earth.  There he discovers two bizarre races—the ethereal Eloi and the subterranean Morlocks—who not only symbolize the duality of human nature, but offer a terrifying portrait of the men of tomorrow as well.  Published in 1895, this masterpiece of invention captivated readers on the threshold of a new century. Thanks to Wells’s expert storytelling and provocative insight, The Time Machine will continue to enthrall readers for generations to come.;1890
The Island of Dr. Moreau;H.G. Wells;https://www.goodreads.com/book/show/29981.The_Island_of_Dr_Moreau;1896;3.73;123813;['Classics', 'Science Fiction', 'Fiction', 'Horror', 'Fantasy', 'Audiobook', 'Literature'];Librarian note: An alternative cover for this ISBN can be found here.Ranked among the classic novels of the English language and the inspiration for several unforgettable movies, this early work of H. G. Wells was greeted in 1896 by howls of protest from reviewers, who found it horrifying and blasphemous. They wanted to know more about the wondrous possibilities of science shown in his first book, The Time Machine, not its potential for misuse and terror. In The Island of Dr. Moreau, a shipwrecked gentleman named Edward Prendick, stranded on a Pacific island lorded over by the notorious Dr. Moreau, confronts dark secrets, strange creatures, and a reason to run for his life.While this riveting tale was intended to be a commentary on evolution, divine creation, and the tension between human nature and culture, modern readers familiar with genetic engineering will marvel at Wells’s prediction of the ethical issues raised by producing “smarter” human beings or bringing back extinct species. These levels of interpretation add a richness to Prendick’s adventures on Dr. Moreau’s island of lost souls without distracting from what is still a rip-roaring good read.;1890
The Invisible Man;H.G. Wells;https://www.goodreads.com/book/show/17184.The_Invisible_Man;1897;3.64;198818;['Classics', 'Science Fiction', 'Fiction', 'Horror', 'Fantasy', 'Audiobook', 'Literature'];This masterpiece of science fiction is the fascinating story of Griffin, a scientist who creates a serum to render himself invisible, and his descent into madness that follows.;1890
The War of the Worlds;H.G. Wells;https://www.goodreads.com/book/show/8909.The_War_of_the_Worlds;1898;3.83;321918;['Science Fiction', 'Fiction', 'Classics', 'Fantasy', 'Audiobook', 'Horror', 'Science Fiction Fantasy'];When an army of invading Martians lands in England, panic and terror seize the population. As the aliens traverse the country in huge three-legged machines, incinerating all in their path with a heat ray and spreading noxious toxic gases, the people of the Earth must come to terms with the prospect of the end of human civilization and the beginning of Martian rule.Inspiring films, radio dramas, comic-book adaptations, television series and sequels,The War of the Worlds is a prototypical work of science fiction which has influenced every alien story that has come since, and is unsurpassed in its ability to thrill, well over a century since it was first published.;1890
